id,date,account,description,debit,credit,preparer,approver
JE001,2026-02-01,1000-Cash,Opening balance,562000,0,John Smith,Mary Johnson
JE002,2026-02-11,5000-Revenue,Product sales revenue,0,150000,Sarah Lee,Michael Brown
JE003,2026-02-12,5000-Revenue,Service revenue,0,95000,Sarah Lee,Michael Brown
JE004,2026-02-13,5000-Revenue,Subscription revenue,0,83000,Sarah Lee,Michael Brown
JE005,2026-02-10,6000-Expense,Office rent,8000,0,Emily Davis,Mary Johnson
JE006,2026-02-11,6000-Expense,Utilities,2500,0,Emily Davis,Mary Johnson
JE007,2026-02-12,6000-Expense,Office supplies,3200,0,Emily Davis,Mary Johnson
JE008,2026-02-13,6000-Expense,Insurance,4500,0,Emily Davis,Mary Johnson
JE009,2026-02-14,7000-Marketing,Digital advertising,25000,0,John Smith,Mary Johnson
JE010,2026-02-14,7000-Marketing,Content marketing,12000,0,John Smith,Mary Johnson
JE011,2026-02-14,7000-Marketing,Social media ads,8500,0,John Smith,Mary Johnson
JE012,2026-02-10,8000-Sales,Sales commissions,18000,0,Sarah Lee,Michael Brown
JE013,2026-02-11,8000-Sales,Sales travel,5500,0,Sarah Lee,Michael Brown
JE014,2026-02-12,8000-Sales,CRM software,3200,0,Sarah Lee,Michael Brown
JE015,2026-02-10,9000-RD,Software development,15000,0,Emily Davis,Mary Johnson
JE016,2026-02-11,9000-RD,Research costs,8500,0,Emily Davis,Mary Johnson
JE017,2026-02-12,9000-RD,Testing equipment,5200,0,Emily Davis,Mary Johnson
JE018,2026-02-13,6000-Expense,IT infrastructure,12000,0,John Smith,Mary Johnson
JE019,2026-02-14,6000-Expense,Legal fees,8000,0,John Smith,Mary Johnson
JE020,2026-02-14,6000-Expense,Accounting fees,6500,0,John Smith,Mary Johnson
JE021,2026-02-10,6000-Expense,Employee salaries,85000,0,Emily Davis,Mary Johnson
JE022,2026-02-11,6000-Expense,Health benefits,12000,0,Emily Davis,Mary Johnson
JE023,2026-02-12,6000-Expense,Payroll taxes,9500,0,Emily Davis,Mary Johnson
JE024,2026-01-15,5000-Revenue,Product sales,0,140000,Sarah Lee,Michael Brown
JE025,2026-01-20,5000-Revenue,Service revenue,0,88000,Sarah Lee,Michael Brown
JE026,2026-01-25,5000-Revenue,Subscription revenue,0,87000,Sarah Lee,Michael Brown
JE027,2026-01-10,6000-Expense,Operations,215000,0,Emily Davis,Mary Johnson
JE028,2025-12-15,5000-Revenue,Product sales,0,125000,Sarah Lee,Michael Brown
JE029,2025-12-20,5000-Revenue,Service revenue,0,82000,Sarah Lee,Michael Brown
JE030,2025-12-25,5000-Revenue,Subscription revenue,0,84000,Sarah Lee,Michael Brown
JE031,2025-12-10,6000-Expense,Operations,205000,0,Emily Davis,Mary Johnson
JE032,2025-11-15,5000-Revenue,Total revenue,0,268000,Sarah Lee,Michael Brown
JE033,2025-11-10,6000-Expense,Operations,198000,0,Emily Davis,Mary Johnson
JE034,2025-10-15,5000-Revenue,Total revenue,0,245000,Sarah Lee,Michael Brown
JE035,2025-10-10,6000-Expense,Operations,185000,0,Emily Davis,Mary Johnson
